title,tier,is_retired,diff,time_min,categories,slug,desc
MrGamer,FREE,retired,Medium,90,Endpoint Forensics,mrgamer,"Develop investigative skills by reconstructing user behavior, tracing digital footprints, and answering contextual questions based on evidence from a compromised system."
Seized,FREE,retired,Medium,60,Endpoint Forensics,seized,"Using Volatility to investigate a Linux compromise, uncovering attacker techniques like persistence, rootkits, and network backdoors, while reinforcing skills in threat hunting and incident response."
MrRobot,FREE,retired,Medium,0,Endpoint Forensics,mrrobot,"Reconstruct a multi-stage attack chain using Volatility Framework to analyze memory dumps, identifying malware, persistence, credential theft, lateral movement, and C2 communications across compromised systems."
ElasticCase,PREMIUM,retired,Medium,0,Threat Hunting,elasticcase,Investigate a simulated multi-stage attack to identify compromise and attacker activity using Elastic SIEM.
HawkEye,FREE,retired,Medium,0,Network Forensics,hawkeye,"Reconstruct a HawkEye Keylogger data exfiltration incident by analyzing network traffic with Wireshark and CyberChef, identifying IoCs and stolen credentials."
GetPDF,FREE,retired,Medium,90,Malware Analysis,getpdf,"Reconstruct a multi-stage PDF malware attack by analyzing network traffic, dissecting PDF objects, deobfuscating JavaScript, and emulating shellcode to identify payloads and exploited CVEs."
DetectLog4j,PREMIUM,retired,Medium,0,Endpoint Forensics,detectlog4j,"Synthesize forensic artifacts across registry, logs, and binaries to reconstruct a Log4Shell exploitation attack chain, identifying C2, persistence, and ransomware behavior."
WebLogic,PREMIUM,retired,Medium,0,Endpoint Forensics,weblogic,"Reconstruct a WebLogic server attack timeline by analyzing memory dumps with Volatility and MemProcFS to identify initial access, persistence, C2, and data exfiltration IOCs."
Trident,PREMIUM,retired,Medium,0,Network Forensics,trident,"Synthesize network, document, and malware forensics findings to reconstruct a multi-stage phishing attack, identifying exploit chains and C2 communication."
l337 S4uc3,FREE,retired,Medium,0,Endpoint Forensics,l337-s4uc3,"Analyze network traffic and memory dumps using Wireshark, Zui, and Volatility to investigate a targeted attack, identify Zeus malware, and reconstruct attacker actions."
Exfiltrated,PREMIUM,retired,Medium,120,Endpoint Forensics,exfiltrated,"Reconstruct a Linux intrusion by analyzing forensic images, system logs, and custom scripts to identify brute-force, privilege escalation, persistence, and exfiltrated data."
Obfuscated,FREE,retired,Medium,90,Malware Analysis,obfuscated,"Deobfuscate multi-stage VBA and JavaScript malware from a Word document, extracting IOCs and reconstructing execution flow with Oledump, CyberChef, and WSH."
Hacked,FREE,retired,Medium,0,Endpoint Forensics,hacked,"Reconstruct initial access, system modifications, and persistence on a compromised Linux server by analyzing disk images and cracking passwords."
LGDroid,FREE,retired,Medium,90,Endpoint Forensics,lgdroid,"Analyze Android disk images using SQLite, Python, and log analysis to reconstruct user activity and extract key forensic artifacts."
PacketMaze,FREE,retired,Medium,45,Network Forensics,packetmaze,"Analyze network traffic using Wireshark to identify suspicious activity, extract IOCs, and uncover authentication details, file transfers, and server information across multiple protocols."
Brave,FREE,retired,Medium,45,Endpoint Forensics,brave,"Investigate Windows memory images using Volatility3, PowerShell, and a hex editor to extract system artifacts, analyze processes, network connections, and reconstruct user activity."
AfricanFalls,FREE,retired,Medium,0,Endpoint Forensics,africanfalls,"Reconstruct a suspect's digital activities and intent by analyzing browser history, system artifacts, deleted files, and credentials from a disk image using various forensic tools."
DumpMe,FREE,retired,Medium,0,Endpoint Forensics,dumpme,Analyze memory dumps using Volatility 2 to identify Meterpreter malware and extract Indicators of Compromise.
HireMe,FREE,retired,Medium,45,Endpoint Forensics,hireme,"Analyze a disk image to investigate multiple forensic cases by examining registry, event logs, and email artifacts using specified forensic tools."
Phishy,FREE,retired,Medium,0,Endpoint Forensics,phishy,"Reconstruct an end-to-end phishing attack chain by analyzing disk image, registry, application, and browser artifacts using various forensic tools."
Injector,FREE,retired,Medium,0,Endpoint Forensics,injector,"Determine the web server compromise method and attacker actions by analyzing disk images, memory dumps, and registry artifacts using Autopsy, Volatility, and Registry Explorer."
Emprisa Maldoc,FREE,retired,Medium,0,Malware Analysis,emprisa-maldoc,Reconstruct fragmented shellcode from a malicious RTF document and emulate its execution using `rtfdump.py` and `scdbg` to identify CVE-2017-11882 payload delivery.
XLM Macros,FREE,retired,Medium,120,Malware Analysis,xlm-macros,Analyze Excel 4.0 macros using XLMDeobfuscator and OLEDUMP to identify anti-analysis techniques and subsequent stage download attempts.
Qradar101,PREMIUM,retired,Medium,0,Threat Hunting,qradar101,"Analyze diverse log sources in QRadar SIEM to identify compromised systems, detect malicious tools, and reconstruct the sequence of attack events."
MalDoc101,FREE,retired,Medium,70,Malware Analysis,maldoc101,"Analyze obfuscated scripts to identify malicious infrastructure, specifically extracting the first FQDN used to download a trojan, enhancing skills in threat hunting and incident response."
HoneyBOT,FREE,retired,Medium,0,Network Forensics,honeybot,"Reconstruct a network intrusion by analyzing PCAP traffic with Wireshark, identifying a CVE-2003-0533 exploit, extracting malware, and performing shellcode analysis with scdbg to uncover attacker techniques and IOCs."
Acoustic,FREE,retired,Medium,0,Network Forensics,acoustic,Analyze SIP and RTP protocols using Wireshark and BrimSecurity to identify malicious VoIP communication patterns and artifacts.
Hammered,FREE,retired,Medium,45,Endpoint Forensics,hammered,"Analyze various Linux system logs using grep, awk, and sed to identify attacker TTPs, persistence, and reconstruct the attack timeline."
Ulysses,FREE,retired,Medium,90,Endpoint Forensics,ulysses,"Analyze Linux system artifacts, including memory dumps and logs, with Volatility and FTK Imager to reconstruct an attack and identify IOCs."
GitTheGate,PREMIUM,retired,Medium,0,Threat Hunting,gitthegate,Investigate network attack artifacts by analyzing logs in Kibana to identify compromised systems and incident timelines.
Intel101,FREE,retired,Medium,30,Threat Intel,intel101,"Apply open-source intelligence (OSINT) techniques using Whois, Wayback Machine, and Google Lens to investigate digital footprints and extract specific information."
WireDive,FREE,retired,Medium,90,Network Forensics,wiredive,"Analyze diverse network traffic using Wireshark to decrypt HTTPS, identify protocol misconfigurations, and extract critical network and system forensic artifacts."
CorporateSecrets,FREE,retired,Medium,0,Endpoint Forensics,corporatesecrets,"Evaluate a Windows disk image by correlating registry, event log, browser, and MFT artifacts to reconstruct evidence of corporate secret exfiltration."
Spotlight,FREE,retired,Medium,0,Endpoint Forensics,spotlight,"Investigate macOS disk images using Autopsy, mac_apt, and SQLite to identify and extract hidden data potentially concealed with steganography."
Jailbroken,FREE,retired,Medium,0,Endpoint Forensics,jailbroken,"Analyze a jailbroken iOS device's system files, SQLite databases, and application data using forensic tools to reconstruct user activity and identify installed applications."
RE101,FREE,retired,Medium,0,Malware Analysis,re101,"Analyze diverse file types including binaries, obfuscated scripts, and corrupted archives using tools like Cutter, hex editors, and debuggers to extract hidden flags and reverse custom encryption."
Hunter,FREE,retired,Medium,0,Endpoint Forensics,hunter,Evaluate forensic artifacts from a disk image to confirm unauthorized port scanning and assess user intent for installing illegal applications.
Szechuan Sauce,FREE,retired,Medium,0,Endpoint Forensics,szechuan-sauce,"Reconstruct a data exfiltration incident by correlating memory, disk, network, and log artifacts using a suite of forensic tools."
EscapeRoom,FREE,retired,Medium,0,Network Forensics,escaperoom,"Reconstruct a multi-stage attack by analyzing network traffic, cracking credentials, and reverse engineering malware using Wireshark, John the Ripper, and IDA Pro to identify persistence and C2 commands."
Malware Traffic Analysis 6,PREMIUM,retired,Medium,60,Network Forensics,malware-traffic-analysis-6,"Investigate email, document, and network traffic using VirusTotal, oledump, and Wireshark to identify ransomware delivery mechanisms and C2 communications."
Malware Traffic Analysis 5,PREMIUM,retired,Medium,0,Network Forensics,malware-traffic-analysis-5,"Investigate network traffic using Wireshark, NetworkMiner, and Suricata to identify the specific malicious email responsible for system compromise."
Malware Traffic Analysis 4,PREMIUM,retired,Medium,0,Network Forensics,malware-traffic-analysis-4,"Reconstruct a malware infection timeline by analyzing network traffic, identifying exploit kit activity, and extracting indicators of compromise using Wireshark and NetworkMiner."
Malware Traffic Analysis 3,PREMIUM,retired,Medium,0,Network Forensics,malware-traffic-analysis-3,"Synthesize network, binary, and threat intelligence artifacts to reconstruct an exploit kit attack chain, identifying components, deobfuscating payloads, and analyzing binary protections."
Malware Traffic Analysis 2,PREMIUM,retired,Medium,90,Network Forensics,malware-traffic-analysis-2,"Reconstruct an exploit kit attack chain from network traffic, identifying the infected host, extracting malware, and determining the exploited CVE using Wireshark and forensic tools."
Malware Traffic Analysis 1,PREMIUM,retired,Medium,60,Network Forensics,malware-traffic-analysis-1,"Analyze network traffic using Wireshark to identify an infected host, trace an exploit kit infection chain, and extract malicious URLs and file hashes."
Boss Of The SOC v1,PREMIUM,retired,Medium,0,Threat Hunting,boss-of-the-soc-v1,"Reconstruct multi-stage attack scenarios by analyzing Splunk logs and integrating OSINT from VirusTotal, ThreatCrowd, and WHOXY to identify TTPs and IOCs."
Ancientland Breach - LockBit,PREMIUM,active,Hard,300,Endpoint Forensics|Network Forensics,ancientland-breach-lockbit,"Trace a real-world attack chain end to end — from a leaked VPN config to domain-wide ransomware. Along the way you will decode obfuscated malware, reverse-engineer a kernel exploit, crack beacon encryption, and reconstruct the attacker's every move from disk, memory, and network artifacts."
Poisoned Pipeline,PREMIUM,active,Hard,150,Threat Hunting|Endpoint Forensics,poisoned-pipeline,"Investigate a multi-stage supply-chain intrusion that landed via a poisoned npm dependency and pivoted through CI/CD into production and AWS by pivoting across Splunk, disk images, and git history."
BreakOut-Daedalus,PREMIUM,active,Hard,150,Threat Hunting|Endpoint Forensics|Network Forensics,breakout-daedalus,"The hosting panel is the new front door; chase an attacker from a forged session all the way to root, breaking out of a container and burrowing into the host along the way. By correlating SIEM telemetry, host disk forensics, and network captures across the full intrusion."
ClawHavoc,PREMIUM,retired,Hard,180,Malware Analysis,clawhavoc,
Gh0stNet Intrusion,PREMIUM,active,Hard,150,Threat Hunting|Endpoint Forensics,gh0stnet-intrusion,"Synthesize forensic evidence from disk images, PCAP, and Splunk logs to reconstruct a Gh0stNet intrusion, identifying C2, persistence, and data exfiltration via DNS tunneling."
BYOVD - Hive0163,PREMIUM,active,Hard,120,Endpoint Forensics|Malware Analysis,byovd-hive0163,"Correlate diverse forensic artifacts to reconstruct a multi-stage ransomware attack, synthesizing insights from BYOVD, custom packer, and anti-analysis techniques."
RansomedTrust - Lynx,PREMIUM,active,Hard,150,Threat Hunting,ransomedtrust-lynx,"Investigate a multi-stage LYNX ransomware intrusion across two trusted Active Directory forests in Splunk, then statically analyze the recovered binary to surface developer artifacts and the embedded victim-contact infrastructure."
Formbook,PREMIUM,retired,Hard,240,Endpoint Forensics|Malware Analysis,formbook,"Trace the attack chain from phishing delivery through obfuscated JavaScript, PowerShell loaders, and final payload execution."
Satisfaction,PREMIUM,retired,Hard,120,Malware Analysis|Network Forensics,satisfaction,"A disgruntled customer, a compromised survey, and a trail of evidence hiding in plain sight — can you trace the attack from the first click to the final payload?"
Maromafix Falldown - RansomHub,PREMIUM,retired,Hard,360,Threat Hunting|Endpoint Forensics,maromafix-falldown-ransomhub,"Reconstruct a multi-stage ransomware attack by correlating Windows event logs, disk artifacts, and malware analysis using Elastic, MFTECmd, RegRipper, and DNSpy."
MarkShell - TA577,PREMIUM,retired,Hard,120,Threat Hunting,markshell-ta577,"Investigate a multi-stage phishing intrusion from initial access through domain compromise, persistence, and C2 deployment."
Code Blue - APT29,PREMIUM,active,Hard,240,Cloud Forensics,code-blue-apt29,"Reconstruct a multi-stage APT29 intrusion by analyzing Azure and M365 logs to trace device code phishing, OAuth token abuse, service account chaining, Silver SAML forgery, and PHI exfiltration."
Recruiter - Hanoi Op,PREMIUM,active,Hard,240,Endpoint Forensics,recruiter-hanoi-op,"When a ""candidate"" submits a resume that’s more than it seems, it’s up to you to hunt through the artifacts, reconstruct the infection chain, and stop a data breach in its tracks."
RoastToRoot,PREMIUM,retired,Hard,180,Network Forensics,roasttoroot,"Analyze network traffic to reconstruct a complete domain compromise attack chain, from AS-REP Roasting and Kerberoasting through privilege escalation, lateral movement, and data exfiltration using rclone."
LFI Escalation,PREMIUM,retired,Hard,0,Endpoint Forensics,lfi-escalation,
Raining Dinosaurs - Storm-2603,PREMIUM,retired,Hard,180,Threat Hunting,raining-dinosaurs-storm-2603,"Hunt through Splunk logs to uncover how attackers exploited a DMZ server, pivoted to the internal network, and deployed ransomware after exfiltrating sensitive data."
Latrodectus – LunarSpider,PREMIUM,retired,Hard,300,Threat Hunting,latrodectus-lunarspider,Correlate Splunk Sysmon logs and disk forensic artifacts across multiple hosts to reconstruct a multi-stage Latrodectus malware intrusion from initial access to data exfiltration.
RansomHub,PREMIUM,retired,Hard,240,Threat Hunting,ransomhub,"Reconstruct RansomHub ransomware attack chain by correlating Splunk logs and disk artifacts to identify password spray, lateral movement, data exfiltration, and ransomware deployment tactics."
Spooler - APT28,PREMIUM,retired,Hard,120,Endpoint Forensics,spooler-apt28,"Hunt browser downloads, MFT records, and Prefetch to unmask the initial dropper and rebuild the attack timeline."
BlackSuit APT Breach,PREMIUM,retired,Hard,300,Threat Hunting,blacksuit-apt-breach,
Zoom Incident - Ignoble Scorpius APT,PREMIUM,retired,Hard,180,Threat Hunting,zoom-incident-ignoble-scorpius-apt,"Correlate Sysmon events and forensic artifacts across multiple hosts using Splunk to reconstruct a full ransomware kill chain, from initial compromise to domain-wide impact."
YARA Trap,PREMIUM,retired,Hard,180,Endpoint Forensics,yara-trap,"Investigate attacker behavior by analyzing Windows artifacts to identify persistence, privilege escalation, and lateral movement using MFTECmd, PECmd, BitsParser, and registry analysis tools."
Voldemort - APT41,PREMIUM,retired,Hard,120,Threat Hunting,voldemort-apt41,"Synthesize disparate forensic artifacts across email, network, and host logs to reconstruct a multi-stage phishing, malware, and C2 attack, attributing it to a known campaign."
RepoReaper - Water Curse,PREMIUM,retired,Hard,120,Endpoint Forensics,reporeaper-water-curse,Investigate a disk image to uncover a UAC bypass and process hollowing and trace the attack back to a compromised software repository.
GateBreak,PREMIUM,retired,Hard,150,Endpoint Forensics,gatebreak,"Reconstruct a macOS attack timeline by correlating Unified Logs, FSEvents, and browser artifacts using macMRU.py and unifiedlog_iterator to identify initial access, Gatekeeper bypass, and persistence."
TomCracked,PREMIUM,retired,Hard,120,Network Forensics,tomcracked,Analyze a web server compromise by analyzing network traffic to trace a Java deserialization exploit and the subsequent deployment of a Cobalt Strike beacon.
Rilide,PREMIUM,retired,Hard,90,Malware Analysis,rilide,"Reconstruct Rilide browser extension attack mechanisms by deobfuscating JavaScript, analyzing Chrome extension artifacts, and leveraging OSINT to identify persistence, C2, and exfiltration IOCs."
RotaJakiro,FREE,retired,Hard,120,Malware Analysis,rotajakiro,"Reverse engineer and analyze RotaJakiro Linux malware using Ghidra, strace, and Wireshark to identify persistence, anti-analysis, and C2 mechanisms."
TOCTOU - OilRig,PREMIUM,retired,Hard,180,Endpoint Forensics,toctou-oilrig,"Correlate memory, registry, and filesystem artifacts using Volatility 3, MemProcFS, and Timeline Explorer to reconstruct a multi-stage attack timeline and map attacker TTPs to MITRE ATT&CK."
BlackSuit Ransomware,PREMIUM,retired,Hard,120,Malware Analysis,blacksuit-ransomware,"Reconstruct BlackSuit ransomware's attack lifecycle by analyzing PE artifacts, encrypted payloads, API calls, and network communication using Ghidra, x64dbg, and CFF Explorer."
Midnight RDP,PREMIUM,retired,Hard,0,Threat Hunting,midnight-rdp,"Reconstruct a sophisticated intrusion's timeline by correlating Windows Event, Sysmon, and PowerShell logs in Splunk, identifying RDP-based initial access, persistence, privilege escalation, and C2."
SolarDisruption,PREMIUM,retired,Hard,90,Network Forensics,solardisruption,Investigate PLC network traffic and system logs to identify insider manipulation attempts and determine the cause of the solar panel disruption at AetherCore Technologies.
PaloAltoRCE - UTA0218,PREMIUM,retired,Hard,0,Threat Hunting,paloaltorce-uta0218,"Reconstruct a Palo Alto RCE attack timeline by analyzing firewall logs in ELK, identifying initial access, reverse shell, persistence, and data exfiltration artifacts."
XZBackDoor,PREMIUM,retired,Hard,120,Endpoint Forensics,xzbackdoor,"Investigate a Linux server compromise by analyzing the XZ backdoor, web shell, log data, and OSINT to uncover attacker TTPs and extract critical IOCs."
SpottedInTheWild,FREE,retired,Hard,0,Endpoint Forensics,spottedinthewild,"Reconstruct an attack timeline by analyzing disk images, event logs, and malicious scripts to identify initial access, persistence, and data exfiltration techniques."
GhostDetect,PREMIUM,retired,Hard,0,Malware Analysis,ghostdetect,"Investigate a multi-stage phishing attack by analyzing LNK files, de-obfuscating scripts, identifying C2, decrypting payloads, and attributing the TTPs to the UAC-0057 APT group."
Brutal Tank,PREMIUM,retired,Hard,0,Threat Hunting,brutal-tank,"Reconstruct an ICS attack chain by analyzing network traffic with Arkime and Wireshark to identify PLC compromise, I/O manipulation, and classify techniques using MITRE ATT&CK for ICS."
Zerologon,PREMIUM,retired,Hard,0,Endpoint Forensics,zerologon,"Reconstruct a multi-stage attack by analyzing Windows event logs, USN Journal, and registry artifacts to identify TTPs, C2, and persistence mechanisms."
ProPDF,PREMIUM,retired,Hard,270,Malware Analysis,propdf,"Reconstruct a malicious PDF attack chain by analyzing embedded JavaScript, extracting the PE payload, identifying Windows API calls, and uncovering the C2 server and downloaded file."
T1059-007,PREMIUM,retired,Hard,120,Malware Analysis,t1059-007,"Analyze malware file system activity with ProcMon, identify scheduled task persistence using AutoRuns, and configure PowerShell logging for script execution."
OceanLotus,PREMIUM,retired,Hard,0,Malware Analysis,oceanlotus,Analyze a memory dump using forensic techniques to identify artifacts from a spear-phishing attack and trace its origin.
ProxyShell,PREMIUM,retired,Hard,150,Network Forensics,proxyshell,Analyze network traffic to identify exploitation attempts targeting the ProxyShell vulnerability and extract relevant indicators of compromise.
ProxyLogon - HAFNIUM,PREMIUM,retired,Hard,0,Threat Hunting,proxylogon-hafnium,Investigate SIEM logs using GrayLog to identify indicators of compromise associated with the ProxyLogon vulnerability (CVE-2021-26855).
Hafnium APT,PREMIUM,retired,Hard,0,Threat Hunting,hafnium-apt,"Correlate Windows Defender, Sysmon, and Security logs in Elastic Stack to reconstruct HafinumAPT's initial access, persistence, and lateral movement TTPs."
NintendoHunt,FREE,retired,Hard,0,Endpoint Forensics,nintendohunt,"Analyze a Windows memory dump using Volatility to identify malicious processes, extract hidden data, investigate registry artifacts, and uncover user activity and persistence mechanisms."
Patrick,FREE,retired,Hard,0,Endpoint Forensics,patrick,Investigate iOS device artifacts using iLEAPP and SQLite Browser to identify anomalous user behavior and potential illicit activity.
TeamSpy,FREE,retired,Hard,73,Endpoint Forensics,teamspy,"Reconstruct the attack timeline by analyzing memory dumps and suspicious document files using Volatility, OfficeMalScanner, and VirusTotal."
PwnedDC - FIN7,PREMIUM,retired,Hard,120,Endpoint Forensics,pwneddc-fin7,"Learn to investigate a domain controller compromise by analyzing logs, memory, and artifacts to uncover attacker tactics, persistence methods, and the full intrusion timeline."
Ransomed,FREE,retired,Hard,120,Malware Analysis,ransomed,"Reconstruct advanced malware execution by performing dynamic analysis and memory forensics to diagnose process hollowing, dynamic API resolution, and string obfuscation."
DeepDive,FREE,retired,Hard,0,Endpoint Forensics,deepdive,"Analyze a memory dump with Volatility to uncover hidden Emotet malware, investigate its code injection, and reconstruct kernel-level evasion tactics like DKOM."
LTE Fallen Wall,PREMIUM,retired,Hard,0,Threat Hunting,lte-fallen-wall,Reconstruct a Diameter signaling attack on an LTE core network using Kibana to identify 2FA bypass and unauthorized transactions.
NukeTheBrowser,FREE,retired,Hard,0,Network Forensics,nukethebrowser,"Analyze network traffic, deobfuscate JavaScript, and examine shellcode to reconstruct a drive-by download attack chain, identifying malware, exploits, and attack methodology using Wireshark and forensic tools."
BankingTroubles,FREE,retired,Hard,0,Endpoint Forensics,bankingtroubles,Evaluate a memory image using Volatility and forensic tools to reconstruct the attack chain initiated by a malicious PDF with JavaScript.
Flareon 4,FREE,retired,Hard,0,Malware Analysis,flareon-4,"Integrate diverse reverse engineering tools and techniques to synthesize solutions for advanced, multi-platform malware analysis challenges."
Boss Of The SOC v3,PREMIUM,retired,Hard,0,Threat Hunting,boss-of-the-soc-v3,Apply Splunk search queries to extract information and answer questions from provided log data.
Boss Of The SOC v2,PREMIUM,retired,Hard,0,Threat Hunting,boss-of-the-soc-v2,"Apply Attack-Based Hunting methodology using Splunk to analyze and correlate diverse network and host logs, identifying multiple distinct cyberattack scenarios."
CryptLoad,PREMIUM,active,Insane,120,Malware Analysis,cryptload,
BlindSentry,PREMIUM,retired,Insane,180,Threat Hunting,blindsentry,
Ignoble Scorpius APT,PREMIUM,retired,Insane,600,Threat Hunting,ignoble-scorpius-apt,"Apply Attack-Based Hunting principles to Splunk logs, correlating Windows and Sysmon data to identify and reconstruct a multi-stage ransomware attack."
Boomer - Lazarus Group,PREMIUM,retired,Insane,480,Endpoint Forensics,boomer-lazarus-group,"Correlate diverse forensic artifacts from memory, registry, browser, and NTFS logs using advanced tools like Mimikatz, Ghidra, and CyberChef to reconstruct a complex data breach and C2 infrastructure."
Babble Loader,PREMIUM,retired,Insane,0,Malware Analysis,babble-loader,Synthesize static and dynamic analysis findings using x64dbg and IDA Pro to deconstruct a multi-stage loader's anti-analysis techniques and identify its .NET infostealer payload.
TeamCity Exploit - APT29,PREMIUM,retired,Insane,0,Threat Hunting,teamcity-exploit-apt29,Correlate Splunk logs and host forensic artifacts from triage images to reconstruct a multi-stage TeamCity compromise and identify attacker TTPs.
Phobos,FREE,retired,Insane,0,Malware Analysis,phobos,"Analyze the Phobos ransomware executable to identify its core behavior, encryption methods, and extract actionable indicators of compromise (IOCs)."
UnPackMe,FREE,retired,Insane,0,Malware Analysis,unpackme,"Analyze packed ShadowSteal malware using dynamic and static reverse engineering to extract the RC4 key, mutex, and self-deletion command."
$tealer,FREE,retired,Insane,0,Malware Analysis,tealer,"Reverse engineer advanced stealer malware, identifying PE structure, dynamic API resolution, anti-analysis techniques, and RC4 string decryption to extract C2 IOCs using IDA Pro and CAPA."
Flareon 6,FREE,retired,Insane,0,Malware Analysis,flareon-6,"Reverse engineer diverse, obfuscated malware samples using static and dynamic analysis tools to identify functionality and extract embedded artifacts."
Flareon 5,FREE,retired,Insane,0,Malware Analysis,flareon-5,"Synthesize advanced reverse engineering techniques to analyze complex malicious binaries and extract hidden flags using IDA Pro, debuggers, and specialized tools."
Flareon 3,FREE,retired,Insane,0,Malware Analysis,flareon-3,Analyze and reverse engineer complex malicious challenges using static and dynamic analysis tools to uncover hidden functionality and extract IOCs.
Flareon 7,FREE,retired,Insane,0,Malware Analysis,flareon-7,Synthesize advanced static and dynamic analysis techniques using IDA Pro and debuggers to solve complex reverse engineering challenges.
Flareon 1,FREE,retired,Insane,0,Malware Analysis,flareon-1,Determine hidden flags and program logic by reverse engineering unknown binaries using static and dynamic analysis tools.
Flareon 2,FREE,retired,Insane,0,Malware Analysis,flareon-2,Reverse engineer multi-stage malicious binaries using IDA Pro and debuggers to uncover hidden functionality and extract embedded flags.
